"longitude","latitude"
-61.527027,16.222525
-61.725958,15.993889
1.169767,43.9447
-61.53717,16.237563
-61.574774,16.237353
-61.385484,16.225103
-61.382226,16.224109
-61.535347,16.238641
-61.589723,16.253309
-61.348271,16.328076
-61.645343,15.976311
-61.656888,15.974368
-61.727868,15.991365
-61.210148,16.253515
-61.703553,15.979784
-61.345871,16.331858
-61.534553,16.237993
-61.534741,16.238797
-61.345774,16.331982
-61.389382,16.256395
-61.763308,16.145996
-61.533761,16.251583
-61.729382,15.993303
-61.506323,16.279442
-61.699055,16.331625
-61.274518,16.252732
-61.605095,16.205684
-61.534741,16.238797
-61.688635,16.321779
-61.531367,16.416558
-61.624787,16.219044
-61.354972,16.330983
-61.532271,16.24334
-61.354972,16.330983
-61.263868,16.265281
